地区,指标,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京市,BaseQuantity,82,71,41,40,41,41,41,41,41
天津市,BaseQuantity,65,62,22,22,22,20,20,19,18
河北省,BaseQuantity,134,122,111,107,105,103,75,69,65
山西省,BaseQuantity,152,138,105,100,99,97,92,89,89
内蒙古自治区,BaseQuantity,109,93,87,84,75,72,65,59,54
辽宁省,BaseQuantity,65,65,65,64,63,63,62,62,61
吉林省,BaseQuantity,107,107,77,76,78,73,68,58,57
黑龙江省,BaseQuantity,191,183,176,158,158,156,104,103,76
上海市,BaseQuantity,100,98,99,99,103,100,90,36,27
江苏省,BaseQuantity,329,322,317,312,301,292,266,245,213
浙江省,BaseQuantity,337,308,275,224,187,183,166,100,100
安徽省,BaseQuantity,201,196,171,171,164,154,141,131,120
福建省,BaseQuantity,128,123,98,98,98,98,94,95,94
江西省,BaseQuantity,144,139,138,137,137,137,109,108,108
山东省,BaseQuantity,517,485,393,312,243,194,178,120,114
河南省,BaseQuantity,334,334,270,248,248,222,180,159,111
湖北省,BaseQuantity,200,199,183,175,174,170,161,125,120
湖南省,BaseQuantity,121,120,115,113,109,103,95,85,81
广东省,BaseQuantity,184,184,177,177,176,175,168,161,169
广西壮族自治区,BaseQuantity,131,132,125,124,106,104,79,71,64
海南省,BaseQuantity,19,19,18,18,18,18,19,18,16
重庆市,BaseQuantity,100,94,82,78,78,71,39,39,37
四川省,BaseQuantity,252,255,239,225,206,188,152,144,108
贵州省,BaseQuantity,91,84,73,73,74,75,66,53,59
云南省,BaseQuantity,137,125,90,86,86,84,85,84,120
西藏自治区,BaseQuantity,7,7,7,7,4,2,2,2,2
陕西省,BaseQuantity,294,282,274,249,238,221,194,122,106
甘肃省,BaseQuantity,215,204,152,150,147,143,149,145,102
青海省,BaseQuantity,24,23,23,23,22,22,22,22,18
宁夏回族自治区,BaseQuantity,54,54,13,12,12,11,9,6,6
新疆维吾尔自治区,BaseQuantity,91,90,90,86,82,76,72,73,71
